ID_Gerbong,Nomor_Gerbong,Kapasitas,ID_Kereta
GB00001,1,72,KRT00034
GB00002,15,60,KRT00055
GB00003,18,72,KRT00020
GB00004,7,60,KRT00028
GB00005,2,80,KRT00095
GB00006,18,40,KRT00096
GB00007,11,40,KRT00007
GB00008,19,72,KRT00065
GB00009,17,50,KRT00008
GB00010,17,40,KRT00024
GB00011,3,80,KRT00009
GB00012,8,72,KRT00016
GB00013,19,50,KRT00075
GB00014,20,40,KRT00080
GB00015,3,72,KRT00085
GB00016,19,80,KRT00067
GB00017,11,60,KRT00027
GB00018,11,50,KRT00034
GB00019,13,50,KRT00086
GB00020,10,72,KRT00041
GB00021,3,40,KRT00059
GB00022,20,80,KRT00013
GB00023,3,80,KRT00028
GB00024,17,60,KRT00017
GB00025,12,40,KRT00032
GB00026,12,60,KRT00021
GB00027,15,80,KRT00091
GB00028,10,80,KRT00084
GB00029,17,40,KRT00086
GB00030,18,60,KRT00085
GB00031,4,50,KRT00034
GB00032,4,40,KRT00096
GB00033,18,50,KRT00035
GB00034,10,80,KRT00027
GB00035,11,50,KRT00088
GB00036,9,80,KRT00063
GB00037,9,40,KRT00012
GB00038,14,60,KRT00006
GB00039,1,60,KRT00099
GB00040,5,60,KRT00021
GB00041,15,80,KRT00091
GB00042,14,80,KRT00002
GB00043,4,40,KRT00089
GB00044,5,80,KRT00005
GB00045,12,80,KRT00071
GB00046,5,72,KRT00017
GB00047,2,60,KRT00047
GB00048,2,60,KRT00027
GB00049,8,40,KRT00046
GB00050,18,72,KRT00080
GB00051,5,50,KRT00021
GB00052,6,72,KRT00004
GB00053,6,60,KRT00053
GB00054,8,60,KRT00021
GB00055,4,72,KRT00005
GB00056,16,50,KRT00026
GB00057,15,60,KRT00040
GB00058,8,50,KRT00004
GB00059,7,72,KRT00043
GB00060,9,40,KRT00099
GB00061,9,60,KRT00083
GB00062,17,72,KRT00087
GB00063,18,60,KRT00004
GB00064,4,60,KRT00023
GB00065,19,60,KRT00005
GB00066,4,80,KRT00056
GB00067,12,60,KRT00056
GB00068,20,80,KRT00015
GB00069,13,80,KRT00025
GB00070,9,40,KRT00091
GB00071,14,40,KRT00067
GB00072,18,50,KRT00047
GB00073,14,40,KRT00086
GB00074,11,80,KRT00041
GB00075,4,60,KRT00065
GB00076,10,72,KRT00042
GB00077,13,60,KRT00071
GB00078,5,50,KRT00054
GB00079,13,50,KRT00079
GB00080,19,60,KRT00052
GB00081,18,40,KRT00039
GB00082,10,50,KRT00056
GB00083,19,80,KRT00084
GB00084,11,72,KRT00057
GB00085,15,50,KRT00066
GB00086,16,50,KRT00085
GB00087,3,60,KRT00066
GB00088,20,60,KRT00012
GB00089,8,60,KRT00029
GB00090,7,50,KRT00004
GB00091,2,50,KRT00061
GB00092,20,40,KRT00059
GB00093,14,80,KRT00025
GB00094,13,72,KRT00052
GB00095,8,50,KRT00084
GB00096,1,40,KRT00100
GB00097,14,50,KRT00023
GB00098,17,72,KRT00007
GB00099,18,50,KRT00016
GB00100,15,50,KRT00060
