ID_Kursi,Nomor_Kursi,ID_Gerbong
KS000001,66,GB08605
KS000002,50,GB09142
KS000003,82,GB00767
KS000004,70,GB07396
KS000005,52,GB03267
KS000006,33,GB02853
KS000007,63,GB02713
KS000008,40,GB07196
KS000009,60,GB01698
KS000010,15,GB05751
KS000011,58,GB09010
KS000012,59,GB03171
KS000013,62,GB08799
KS000014,11,GB05594
KS000015,53,GB02009
KS000016,52,GB02570
KS000017,9,GB08009
KS000018,28,GB06195
KS000019,61,GB01406
KS000020,31,GB08644
KS000021,93,GB08115
KS000022,26,GB01034
KS000023,38,GB00329
KS000024,90,GB03531
KS000025,10,GB09326
KS000026,89,GB01923
KS000027,51,GB06966
KS000028,54,GB01971
KS000029,55,GB02779
KS000030,40,GB06507
KS000031,80,GB08939
KS000032,67,GB09457
KS000033,83,GB07072
KS000034,62,GB06444
KS000035,23,GB01246
KS000036,65,GB02272
KS000037,24,GB05113
KS000038,60,GB09331
KS000039,81,GB02972
KS000040,17,GB04222
KS000041,64,GB06633
KS000042,84,GB09045
KS000043,55,GB07209
KS000044,6,GB07469
KS000045,14,GB06430
KS000046,57,GB01508
KS000047,82,GB04386
KS000048,67,GB09352
KS000049,46,GB07541
KS000050,79,GB02310
KS000051,43,GB07473
KS000052,69,GB06072
KS000053,89,GB02827
KS000054,25,GB05169
KS000055,20,GB09792
KS000056,65,GB00904
KS000057,4,GB03099
KS000058,38,GB01150
KS000059,29,GB07234
KS000060,31,GB04115
KS000061,44,GB04414
KS000062,17,GB04686
KS000063,62,GB01571
KS000064,9,GB05667
KS000065,41,GB08486
KS000066,24,GB02962
KS000067,9,GB09132
KS000068,15,GB09270
KS000069,43,GB01381
KS000070,57,GB01509
KS000071,78,GB00032
KS000072,58,GB00427
KS000073,56,GB07475
KS000074,61,GB07004
KS000075,86,GB09925
KS000076,26,GB01917
KS000077,27,GB01593
KS000078,51,GB04879
KS000079,41,GB03995
KS000080,71,GB03219
KS000081,25,GB06558
KS000082,38,GB02644
KS000083,45,GB05283
KS000084,2,GB03653
KS000085,47,GB04012
KS000086,32,GB02865
KS000087,94,GB01451
KS000088,5,GB01643
KS000089,21,GB05527
KS000090,39,GB06611
KS000091,58,GB05366
KS000092,99,GB09761
KS000093,9,GB04788
KS000094,75,GB09647
KS000095,86,GB09918
KS000096,46,GB09353
KS000097,98,GB07357
KS000098,61,GB00693
KS000099,30,GB01562
KS000100,90,GB07866
KS000101,1,GB05905
KS000102,55,GB08731
KS000103,85,GB02064
KS000104,48,GB09042
KS000105,26,GB03058
KS000106,6,GB01098
KS000107,35,GB03546
KS000108,43,GB05024
KS000109,48,GB06363
KS000110,25,GB06489
KS000111,61,GB08361
KS000112,66,GB03776
KS000113,56,GB08202
KS000114,56,GB03855
KS000115,54,GB04921
