ID_Tiket,ID_Kursi,ID_Perjalanan,ID_Transaksi,Status_Tiket
TKT00000001,KS008332,PRJ0000248,TRX0008073,Dibatalkan
TKT00000002,KS007859,PRJ0001397,TRX0006610,Dibatalkan
TKT00000003,KS006819,PRJ0006438,TRX0006803,Dibatalkan
TKT00000004,KS003643,PRJ0000895,TRX0001448,Terjual
TKT00000005,KS006341,PRJ0008520,TRX0003205,Terjual
TKT00000006,KS001150,PRJ0002581,TRX0005777,Dibatalkan
TKT00000007,KS005713,PRJ0006584,TRX0009308,Terjual
TKT00000008,KS009034,PRJ0008660,TRX0005222,Dibatalkan
TKT00000009,KS005409,PRJ0007196,TRX0000874,Terjual
TKT00000010,KS004659,PRJ0002559,TRX0005701,Dibatalkan
TKT00000011,KS004473,PRJ0002105,TRX0003956,Terjual
TKT00000012,KS001412,PRJ0003620,TRX0005468,Dibatalkan
TKT00000013,KS005548,PRJ0006052,TRX0008171,Dibatalkan
TKT00000014,KS008026,PRJ0008532,TRX0008519,Dibatalkan
TKT00000015,KS008853,PRJ0004868,TRX0004200,Dibatalkan
TKT00000016,KS002455,PRJ0000451,TRX0007852,Dibatalkan
TKT00000017,KS009256,PRJ0008157,TRX0000260,Dibatalkan
TKT00000018,KS006427,PRJ0002468,TRX0001827,Dibatalkan
TKT00000019,KS006790,PRJ0009318,TRX0002123,Terjual
TKT00000020,KS001879,PRJ0005858,TRX0004841,Dibatalkan
TKT00000021,KS007262,PRJ0008205,TRX0004714,Dibatalkan
TKT00000022,KS000517,PRJ0002144,TRX0005756,Dibatalkan
TKT00000023,KS000129,PRJ0002342,TRX0009399,Terjual
TKT00000024,KS001140,PRJ0006484,TRX0008683,Dibatalkan
TKT00000025,KS002058,PRJ0009616,TRX0009850,Terjual
TKT00000026,KS009923,PRJ0004787,TRX0003048,Terjual
TKT00000027,KS008099,PRJ0009004,TRX0008124,Terjual
TKT00000028,KS003489,PRJ0000879,TRX0001617,Dibatalkan
TKT00000029,KS003367,PRJ0008054,TRX0005533,Terjual
TKT00000030,KS001365,PRJ0004112,TRX0006521,Terjual
TKT00000031,KS008675,PRJ0001208,TRX0000947,Dibatalkan
TKT00000032,KS007435,PRJ0007289,TRX0007539,Terjual
TKT00000033,KS004697,PRJ0002684,TRX0006982,Terjual
TKT00000034,KS003478,PRJ0006532,TRX0005656,Dibatalkan
TKT00000035,KS006920,PRJ0001081,TRX0009142,Terjual
TKT00000036,KS007047,PRJ0004093,TRX0007614,Dibatalkan
TKT00000037,KS006758,PRJ0007865,TRX0003119,Dibatalkan
TKT00000038,KS006246,PRJ0003386,TRX0009991,Dibatalkan
TKT00000039,KS001833,PRJ0006725,TRX0007079,Terjual
TKT00000040,KS006965,PRJ0006268,TRX0002168,Terjual
TKT00000041,KS005282,PRJ0002014,TRX0005637,Terjual
TKT00000042,KS007102,PRJ0004805,TRX0006250,Terjual
TKT00000043,KS003157,PRJ0003308,TRX0003243,Dibatalkan
TKT00000044,KS001206,PRJ0005550,TRX0004413,Dibatalkan
TKT00000045,KS001951,PRJ0006587,TRX0005956,Terjual
TKT00000046,KS007387,PRJ0007523,TRX0007741,Terjual
TKT00000047,KS006865,PRJ0002373,TRX0003909,Terjual
TKT00000048,KS008042,PRJ0005094,TRX0008079,Dibatalkan
TKT00000049,KS002795,PRJ0005697,TRX0006949,Terjual
TKT00000050,KS008419,PRJ0006105,TRX0009339,Dibatalkan
TKT00000051,KS003790,PRJ0004105,TRX0003125,Terjual
TKT00000052,KS000870,PRJ0007868,TRX0002542,Dibatalkan
TKT00000053,KS005416,PRJ0006551,TRX0005722,Terjual
TKT00000054,KS002396,PRJ0007395,TRX0002296,Terjual
TKT00000055,KS005676,PRJ0006600,TRX0009540,Terjual
TKT00000056,KS003086,PRJ0008311,TRX0004834,Terjual
TKT00000057,KS008535,PRJ0007569,TRX0007956,Dibatalkan
TKT00000058,KS009369,PRJ0000995,TRX0000208,Terjual
TKT00000059,KS002389,PRJ0005434,TRX0002133,Dibatalkan
TKT00000060,KS000991,PRJ0007669,TRX0009837,Terjual
TKT00000061,KS006166,PRJ0002937,TRX0000032,Dibatalkan
TKT00000062,KS008057,PRJ0007675,TRX0001817,Terjual
TKT00000063,KS002105,PRJ0000910,TRX0001933,Terjual
TKT00000064,KS009934,PRJ0003289,TRX0005020,Terjual
TKT00000065,KS006617,PRJ0000334,TRX0006789,Terjual
TKT00000066,KS009483,PRJ0008286,TRX0005463,Terjual
TKT00000067,KS008119,PRJ0005741,TRX0002284,Dibatalkan
TKT00000068,KS003218,PRJ0009091,TRX0008028,Dibatalkan
TKT00000069,KS000546,PRJ0007309,TRX0003369,Dibatalkan
TKT00000070,KS000403,PRJ0006781,TRX0008689,Dibatalkan
TKT00000071,KS002171,PRJ0008464,TRX0006984,Dibatalkan
TKT00000072,KS007326,PRJ0007297,TRX0008281,Terjual
TKT00000073,KS003624,PRJ0008830,TRX0007049,Terjual
TKT00000074,KS002160,PRJ0009881,TRX0009632,Terjual
TKT00000075,KS000611,PRJ0009115,TRX0008347,Terjual
TKT00000076,KS006568,PRJ0009699,TRX0008552,Dibatalkan
TKT00000077,KS004361,PRJ0000296,TRX0002535,Terjual
TKT00000078,KS003555,PRJ0005138,TRX0001521,Terjual
TKT00000079,KS004789,PRJ0000634,TRX0001418,Terjual
TKT00000080,KS008189,PRJ0003421,TRX0000356,Terjual
TKT00000081,KS009591,PRJ0009627,TRX0008995,Dibatalkan
TKT00000082,KS001326,PRJ0001094,TRX0002514,Dibatalkan
TKT00000083,KS006480,PRJ0005225,TRX0008426,Dibatalkan
TKT00000084,KS005789,PRJ0004876,TRX0008192,Terjual
TKT00000085,KS001158,PRJ0007901,TRX0003616,Dibatalkan
TKT00000086,KS002921,PRJ0006825,TRX0006511,Terjual
TKT00000087,KS005651,PRJ0000639,TRX0006323,Dibatalkan
TKT00000088,KS007409,PRJ0000888,TRX0007716,Terjual
TKT00000089,KS002384,PRJ0007044,TRX0001917,Terjual
TKT00000090,KS002811,PRJ0008773,TRX0001181,Dibatalkan
TKT00000091,KS000476,PRJ0005183,TRX0005858,Dibatalkan
TKT00000092,KS007840,PRJ0005415,TRX0000149,Terjual
TKT00000093,KS007278,PRJ0003047,TRX0004081,Terjual
TKT00000094,KS007951,PRJ0000006,TRX0002124,Dibatalkan
TKT00000095,KS004836,PRJ0007417,TRX0004115,Dibatalkan
TKT00000096,KS001956,PRJ0009150,TRX0001472,Dibatalkan
TKT00000097,KS004140,PRJ0002351,TRX0004778,Terjual
TKT00000098,KS006698,PRJ0003008,TRX0001863,Terjual
TKT00000099,KS008486,PRJ0005986,TRX0009234,Dibatalkan
TKT00000100,KS001977,PRJ0004105,TRX0006494,Terjual
TKT00000101,KS003955,PRJ0000545,TRX0003111,Terjual
TKT00000102,KS001683,PRJ0001851,TRX0003154,Terjual
TKT00000103,KS000881,PRJ0003470,TRX0002765,Terjual
TKT00000104,KS004623,PRJ0007045,TRX0008016,Dibatalkan
TKT00000105,KS008692,PRJ0008292,TRX0001975,Dibatalkan
TKT00000106,KS002020,PRJ0009687,TRX0001513,Terjual
TKT00000107,KS007284,PRJ0009145,TRX0000337,Dibatalkan
TKT00000108,KS009310,PRJ0004407,TRX0005356,Dibatalkan
TKT00000109,KS009894,PRJ0006730,TRX0008308,Terjual
TKT00000110,KS002222,PRJ0005098,TRX0008210,Terjual
TKT00000111,KS004416,PRJ0007154,TRX0001688,Terjual
TKT00000112,KS004557,PRJ0003733,TRX0004289,Dibatalkan
TKT00000113,KS001606,PRJ0006301,TRX0007923,Terjual
TKT00000114,KS003751,PRJ0002069,TRX0007153,Terjual
TKT00000115,KS008195,PRJ0006328,TRX0009717,Dibatalkan
TKT00000116,KS005519,PRJ0002550,TRX0005843,Terjual
TKT00000117,KS000305,PRJ0004274,TRX0000659,Terjual
TKT00000118,KS000270,PRJ0006921,TRX0008598,Terjual
TKT00000119,KS008293,PRJ0001333,TRX0002612,Dibatalkan
TKT00000120,KS008551,PRJ0002267,TRX0008936,Dibatalkan
TKT00000121,KS004636,PRJ0001845,TRX0007599,Terjual
TKT00000122,KS009117,PRJ0005572,TRX0004144,Dibatalkan
TKT00000123,KS004578,PRJ0003632,TRX0009873,Dibatalkan
TKT00000124,KS004065,PRJ0009144,TRX0005693,Terjual
TKT00000125,KS002544,PRJ0000153,TRX0007706,Terjual
TKT00000126,KS001830,PRJ0001316,TRX0006177,Dibatalkan
TKT00000127,KS009014,PRJ0009025,TRX0000876,Terjual
TKT00000128,KS006964,PRJ0005680,TRX0009370,Dibatalkan
TKT00000129,KS003811,PRJ0007809,TRX0007669,Terjual
TKT00000130,KS007041,PRJ0002935,TRX0002281,Terjual
TKT00000131,KS000600,PRJ0003397,TRX0001785,Terjual
TKT00000132,KS003910,PRJ0003402,TRX0000796,Terjual
TKT00000133,KS001281,PRJ0001178,TRX0002096,Dibatalkan
TKT00000134,KS004054,PRJ0004937,TRX0007585,Terjual
TKT00000135,KS000575,PRJ0006762,TRX0004849,Dibatalkan
TKT00000136,KS009491,PRJ0003294,TRX0004278,Terjual
TKT00000137,KS000852,PRJ0000843,TRX0009332,Terjual
TKT00000138,KS006995,PRJ0000931,TRX0009480,Dibatalkan
TKT00000139,KS005531,PRJ0003952,TRX0006486,Terjual
TKT00000140,KS003999,PRJ0004838,TRX0002467,Terjual
TKT00000141,KS008674,PRJ0003580,TRX0000915,Terjual
TKT00000142,KS009083,PRJ0004145,TRX0009951,Dibatalkan
TKT00000143,KS000420,PRJ0007868,TRX0007976,Dibatalkan
TKT00000144,KS000965,PRJ0003023,TRX0005062,Dibatalkan
TKT00000145,KS009444,PRJ0001329,TRX0004661,Dibatalkan
TKT00000146,KS004313,PRJ0005797,TRX0004610,Terjual
TKT00000147,KS002913,PRJ0007358,TRX0004770,Terjual
TKT00000148,KS007343,PRJ0008682,TRX0001198,Terjual
TKT00000149,KS001543,PRJ0002661,TRX0004572,Terjual
TKT00000150,KS001133,PRJ0000911,TRX0003977,Dibatalkan
TKT00000151,KS001081,PRJ0000247,TRX0007669,Dibatalkan
TKT00000152,KS006138,PRJ0006669,TRX0003163,Terjual
TKT00000153,KS003925,PRJ0009051,TRX0008018,Terjual
TKT00000154,KS008961,PRJ0000777,TRX0001658,Dibatalkan
TKT00000155,KS008794,PRJ0002262,TRX0001050,Terjual
TKT00000156,KS009446,PRJ0007971,TRX0004192,Terjual
TKT00000157,KS000427,PRJ0002415,TRX0000327,Terjual
TKT00000158,KS000424,PRJ0007804,TRX0007991,Dibatalkan
TKT00000159,KS003565,PRJ0001437,TRX0009145,Terjual
TKT00000160,KS007927,PRJ0005972,TRX0007475,Dibatalkan
TKT00000161,KS003512,PRJ0000634,TRX0008951,Terjual
TKT00000162,KS009854,PRJ0001522,TRX0007651,Dibatalkan
TKT00000163,KS003828,PRJ0007680,TRX0008184,Dibatalkan
TKT00000164,KS003216,PRJ0001131,TRX0004509,Terjual
TKT00000165,KS008733,PRJ0007519,TRX0005743,Dibatalkan
TKT00000166,KS006024,PRJ0008864,TRX0003624,Terjual
TKT00000167,KS009274,PRJ0002590,TRX0002965,Dibatalkan
TKT00000168,KS001136,PRJ0002546,TRX0001885,Terjual
TKT00000169,KS003119,PRJ0004847,TRX0001534,Terjual
TKT00000170,KS002468,PRJ0004109,TRX0009230,Dibatalkan
